geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
2509293,Zurgena,Zurgena,,37.34218,-2.03985,P,PPLA3,51,AL,04103,,04,2317
2509302,Zuheros,Zuheros,"Zuheres,Zuhéres",37.54332,-4.31531,P,PPLA3,51,CO,14075,,14,827
2509304,Zufre,Zufre,Zufre,37.83333,-6.33333,P,PPLA3,51,H,21079,,21,0
2509311,Zorita,Zorita,"Sorita,Zorita,suo li ta,zwryta,Сорита,Соріта,زوريتا,索里塔",39.28522,-5.69973,P,PPLA3,57,CC,10219,,10,1779
2509325,Zarza la Mayor,Zarza la Mayor,Zarza la Mayor,39.87692,-6.86211,P,PPLA3,57,CC,10218,,10,1481
2509328,Zarza de Montánchez,Zarza de Montanchez,"Zarza,Zarza de Montanchez,Zarza de Montánchez",39.25756,-6.03248,P,PPLA3,57,CC,10217,,10,608
2509341,Zarra,Zarra,Zarra,39.09175,-1.07532,P,PPLA3,60,V,46263,,46,442
2509364,Zalamea la Real,Zalamea la Real,"Zalamea,Zalamea la Real",37.68012,-6.65977,P,PPLA3,51,H,21078,,21,3506
2509365,Zalamea de la Serena,Zalamea de la Serena,Zalamea de la Serena,38.65131,-5.66063,P,PPLA3,57,BA,06160,,06,4273
2509371,Zahara,Zahara,,36.84055,-5.39128,P,PPLA3,51,CA,11042,,11,1571
2509374,Zagra,Zagra,,37.25561,-4.16905,P,PPLA3,51,GR,18913,,18,1092
2509375,Zafra de Záncara,Zafra de Zancara,"Zafra de Zancara,Zafra de Záncara",39.89203,-2.55786,P,PPLA3,54,CU,16277,,16,169
2509377,Zafra,Zafra,"Cafra,Safra,Zafra,sa fu la,safura,Çafra,Зафра,Сафра,صفراء، بطليوس,サフラ,萨夫拉",38.42539,-6.41734,P,PPLA3,57,BA,06158,,06,16424
2509379,Zafarraya,Zafarraya,,36.97554,-4.14442,P,PPLA3,51,GR,18192,,18,2181
2509382,Yunquera,Yunquera,Yunquera,36.73252,-4.92122,P,PPLA3,51,MA,29100,,29,3298
2509386,Yeste,Yeste,"Este,Yeste,Zoste,ysth,ysty,Єсте,Есте,يستي,یسته",38.36852,-2.31756,P,PPLA3,54,AB,02086,,02,3580
2509389,Yepes,Yepes,"Epes,Yepes,ye pei si,yybys,Єпес,Епес,ييبيس,耶佩斯",39.90199,-3.62517,P,PPLA3,54,TO,45202,,45,4752
2509390,Yémeda,Yemeda,"Yemeda,Yémeda",39.76667,-1.71667,P,PPLA3,54,CU,16276,,16,26
2509402,Yecla,Yecla,"Ekla,Iecla,Yecla,ye ke la,ykla  mrsyt,Єкла,Екла,يكلا، مرسية,耶克拉",38.61365,-1.11468,P,PPLA3,31,MU,30043,,30,35025
2509406,Yátova,Yatova,"Iatova,Iàtova,Yatova,Yátova",39.38333,-0.8,P,PPLA3,60,V,46261,,46,1982
2509408,Yaiza,Yaiza,"Jaisa,Yaiza,Яиса",28.95678,-13.76535,P,PPLA3,53,GC,35034,,35,16289
2509414,Víznar,Viznar,,37.23149,-3.55382,P,PPLA3,51,GR,18189,,18,776
2509419,Viveros,Viveros,Viveros,38.7726,-2.57449,P,PPLA3,54,AB,02085,,02,475
2509420,Viver,Viver,"Vivel,Viver,bi wei er,fayfar,Вивер,Вівер,فايفار,比韦尔",39.91667,-0.6,P,PPLA3,60,CS,12140,,12,1442
2509437,Viso del Marqués,Viso del Marques,"El Viso del Marques,El Viso del Marqués,Viso del Marques,Viso del Marqués",38.52208,-3.56348,P,PPLA3,54,CR,13098,,13,2946
2509451,Viñuela,Vinuela,,36.86307,-4.14124,P,PPLA3,51,MA,29099,,29,1591
2509457,Vinalesa,Vinalesa,Vinalesa,39.53333,-0.36667,P,PPLA3,60,V,46260,,46,2576
