geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
2509293,Zurgena,Zurgena,,37.34218,-2.03985,P,PPLA3,51,AL,04103,,04,2317
2509294,Zúñiga,Zuniga,"Caserio Zuniga,Caserío Zúñiga,Zuniga,Zúñiga",37.79887,-1.70456,P,PPL,31,MU,30024,,30,0
2509297,Zulema,Zulema,Zulema,39.23333,-1.38333,P,PPL,54,AB,02007,,02,0
2509299,Zújar,Zujar,,38.56667,-5.31667,P,PPL,51,CO,14008,,14,0
2509300,Zújar,Zujar,"Zujar,Zújar",37.54285,-2.84197,P,PPL,51,GR,18194,,18,2597
2509301,Zujaira,Zujaira,,37.25663,-3.80453,P,PPL,51,GR,18158,,18,0
2509302,Zuheros,Zuheros,"Zuheres,Zuhéres",37.54332,-4.31531,P,PPLA3,51,CO,14075,,14,827
2509304,Zufre,Zufre,Zufre,37.83333,-6.33333,P,PPLA3,51,H,21079,,21,0
2509305,Zubia,Zubia,"La Zubia,Zubia",37.11906,-3.584,P,PPL,51,GR,18084,,18,18995
2509311,Zorita,Zorita,"Sorita,Zorita,suo li ta,zwryta,Сорита,Соріта,زوريتا,索里塔",39.28522,-5.69973,P,PPLA3,57,CC,10219,,10,1779
2509312,Zorio,Zorio,"Caserio Zorio,Caserío Zorio,Zorio",38.69575,-2.39994,P,PPL,54,AB,02059,,02,0
2509314,Zocueca,Zocueca,,38.09094,-3.83645,P,PPL,51,J,23039,,23,0
2509316,Zeneta,Zeneta,Zeneta,38.01106,-0.9967,P,PPL,31,MU,30030,,30,0
2509322,Zarzales,Zarzales,"Caserio Zarzales,Caserío Zarzales,Zarzales",37.18281,-2.33,P,PPL,51,AL,04082,,04,0
2509325,Zarza la Mayor,Zarza la Mayor,Zarza la Mayor,39.87692,-6.86211,P,PPLA3,57,CC,10218,,10,1481
2509326,Zarzaíca,Zarzaica,"Cortijada Zarzaica,Cortijada Zarzaíca,Zarzaica,Zarzaíca",37.59539,-3.89015,P,PPL,51,J,23034,,23,0
2509327,Zarzadilla de Totana,Zarzadilla de Totana,Zarzadilla de Totana,37.87852,-1.7073,P,PPL,31,MU,30024,,30,0
2509328,Zarza de Montánchez,Zarza de Montanchez,"Zarza,Zarza de Montanchez,Zarza de Montánchez",39.25756,-6.03248,P,PPLA3,57,CC,10217,,10,608
