parametro,tipo,valor_guideline,unidad,provisional,notas
Acrylamide,químico,0.5,µg/l,,Carcinógeno (riesgo 10⁻⁵). Concentración monomérica residual
Alachlor,químico,20,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Aldicarb,químico,10,µg/l,,Aplica a aldicarb sulfóxido y aldicarb sulfona
Aldrin and dieldrin,químico,0.03,µg/l,,Combinado aldrina + dieldrina
Antimony,químico,20,µg/l,,
Arsenic,químico,10,µg/l,"A, T",Provisional: bajo nivel de cuantificación y de tratamiento práctico
Atrazine and chloro-s-triazine metabolites,químico,100,µg/l,,
Barium,químico,1300,µg/l,,
Benzene,químico,10,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Benzo[a]pyrene,químico,0.7,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Boron,químico,2400,µg/l,,
Bromate,químico,10,µg/l,"A, T",Carcinógeno (riesgo 10⁻⁵). Provisional: bajo nivel de cuantificación y de tratamiento
Bromodichloromethane,químico,60,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Bromoform,químico,100,µg/l,,
Cadmium,químico,3,µg/l,,
Carbofuran,químico,7,µg/l,,
Carbon tetrachloride,químico,4,µg/l,,
Chlorate,químico,700,µg/l,D,Provisional: la desinfección puede causar superación
Chlordane,químico,0.2,µg/l,,
Chlorine (free),químico,5000,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
Chlorite,químico,700,µg/l,D,Provisional: la desinfección puede causar superación
Chloroform,químico,300,µg/l,,
Chlorotoluron,químico,30,µg/l,,
Chlorpyrifos,químico,30,µg/l,,
Chromium (total),químico,50,µg/l,,
Copper,químico,2000,µg/l,,Manchas en ropa y sanitarios pueden ocurrir bajo el valor guía
Cyanazine,químico,0.6,µg/l,,
Cylindrospermopsins (cyanotoxin),químico,0.7,µg/l,P,"Provisional. Exposición largo plazo. Corto plazo: 3 µg/l (P). Total cilindrospermopsinas (suma congéneres, libre + celular)"
2-4-D (2-4-Dichlorophenoxyacetic acid),químico,30,µg/l,,Aplica al ácido libre
2-4-DB (2-4-Dichlorophenoxybutyric acid),químico,90,µg/l,,
DDT and metabolites,químico,1,µg/l,,
Dibromoacetonitrile,químico,70,µg/l,,
Dibromochloromethane,químico,100,µg/l,,
1-2-Dibromo-3-chloropropane,químico,1,µg/l,,
1-2-Dibromoethane,químico,0.4,µg/l,P,Carcinógeno (riesgo 10⁻⁵). Provisional: incertidumbre en datos de salud
Dichloroacetate,químico,50,µg/l,D,Carcinógeno (riesgo 10⁻⁵). Provisional: la desinfección puede causar superación
Dichloroacetonitrile,químico,20,µg/l,P,Provisional: incertidumbre en datos de salud
1-2-Dichlorobenzene,químico,1000,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
1-4-Dichlorobenzene,químico,300,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
