Loaded catalog: 135 municipalities
[Province 12 - Castellón/Castelló] 0/135 already completed
[Castellón/Castelló 1/135] AÍN
  WARNING: Failed to download boletin 17386751 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 17006999 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16434860 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15760875 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14565322 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13861553 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13667073 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16831484 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14846187 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13667079 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 17132490 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13667074 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  OK: no data
[Castellón/Castelló 2/135] ALBOCÀSSER
  WARNING: Failed to download boletin 17187921 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16676663 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15434568 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14873660 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13681657 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13277649 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12697171 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12379902 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11694708 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11294046 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16645560 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14740888 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13084298 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12112598 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11052184 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 10107613 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 9444505 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 8536888 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 7686774 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 6974580 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16221732 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14542771 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13009067 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 17212714 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16838427 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16475010 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16007270 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15434566 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15215555 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14631115 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14279500 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13686544 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13529004 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16825856 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15989572 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14918235 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14279496 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13307872 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12957576 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12407016 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11305144 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 10360471 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 9444496 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14684183 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13149584 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  OK: no data
[Castellón/Castelló 3/135] ALCALÀ DE XIVERT
