provincia_code,municipio_code,municipio,lat_municipio,lon_municipio,source
1,1001,ALEGRÍA-DULANTZI,42.829133,-2.5110825,geo_point_2d_poligono
1,1002,Amurrio,43.05,-3.0,nucleo_capital_geonames
1,1003,ARAMAIO,43.0459861,-2.5936346,geo_point_2d_poligono
1,1004,ARTZINIEGA,43.12145,-3.12972,nucleo_homonimo_geonames
1,1006,ARMIÑÓN,42.72313,-2.87172,nucleo_capital_geonames
1,1008,Arratzua-Ubarrundia,42.9242632,-2.6143292,geo_point_2d_poligono
1,1009,ASPARRENA,42.8942433,-2.3160038,geo_point_2d_poligono
1,1010,Ayala,43.0754914,-3.0782746,geo_point_2d_poligono
1,1011,BAÑOS DE EBRO/MAÑUETA,42.5227521,-2.6749314,geo_point_2d_poligono
1,1013,BARRUNDIA,42.9117237,-2.4928981,geo_point_2d_poligono
1,1014,Berantevilla,42.68254,-2.85832,nucleo_capital_geonames
1,1016,Bernedo,42.62663,-2.49784,nucleo_homonimo_geonames
1,1017,Campezo,42.6866556,-2.3608927,geo_point_2d_poligono
1,1018,Zigoitia,42.9686818,-2.7307028,geo_point_2d_poligono
1,1019,Kripan,42.59113,-2.51656,nucleo_homonimo_geonames
1,1020,Kuartango,42.8957906,-2.935609,geo_point_2d_poligono
1,1021,Elburgo,42.865049,-2.547202,geo_point_2d_poligono
1,1022,Elciego,42.51569,-2.61897,nucleo_capital_geonames
1,1023,ELVILLAR/BILAR,42.5620561,-2.5405537,geo_point_2d_poligono
1,1027,Iruraiz-Gauna,42.83555,-2.4297,nucleo_cualquiera_geonames
1,1028,Labastida,42.58974,-2.79568,nucleo_capital_geonames
1,1030,Lagrán,42.62625,-2.58385,nucleo_capital_geonames
1,1031,LAGUARDIA,42.55461,-2.58528,nucleo_capital_geonames
1,1032,LANCIEGO/LANTZIEGO,42.5441189,-2.4999267,geo_point_2d_poligono
1,1033,Lapuebla de Labarca,42.49455,-2.57341,nucleo_capital_geonames
1,1034,Leza,42.56552,-2.63324,nucleo_capital_geonames
1,1036,Laudio,43.1384347,-2.9777016,geo_point_2d_poligono
1,1037,Arraia-Maeztu,42.7491148,-2.4452467,geo_point_2d_poligono
1,1039,Moreda de Álava,42.52571,-2.40828,nucleo_capital_geonames
1,1041,Navaridas,42.54566,-2.6265,nucleo_capital_geonames
1,1042,OKONDO,43.1684875,-3.0179297,geo_point_2d_poligono
1,1043,Oyón-Oion,42.5445645,-2.4328496,geo_point_2d_poligono
1,1044,Peñacerrada-Urizaharra,42.6383155,-2.7005451,geo_point_2d_poligono
1,1046,Erriberagoitia,42.802459,-2.9251234,geo_point_2d_poligono
1,1047,ERRIBERABEITIA,42.7244909,-2.9027603,geo_point_2d_poligono
1,1049,AÑANA,42.8137375,-2.9916165,geo_point_2d_poligono
1,1051,AGURAIN/SALVATIERRA,42.8384361,-2.3871359,geo_point_2d_poligono
1,1052,Samaniego,42.56854,-2.67974,nucleo_capital_geonames
1,1053,SAN MILLÁN/DONEMILIAGA,42.87118,-2.4115,nucleo_cualquiera_geonames
1,1054,Urkabustaiz,42.96625,-2.9208979,geo_point_2d_poligono
1,1055,Valdegovía,42.84777,-3.09883,nucleo_cualquiera_geonames
1,1056,Harana,42.7572091,-2.3183768,geo_point_2d_poligono
1,1057,Villabuena de Álava,42.54787,-2.66552,nucleo_capital_geonames
1,1058,LEGUTIO,42.978,-2.64237,nucleo_homonimo_geonames
1,1059,VITORIA-GASTEIZ,42.84998,-2.67268,nucleo_capital_geonames
1,1060,Yécora,42.5555162,-2.4687056,geo_point_2d_poligono
1,1061,Zalduondo,42.88552,-2.34747,nucleo_homonimo_geonames
1,1062,ZAMBRANA,42.66102,-2.87909,nucleo_capital_geonames
1,1063,ZUIA,42.9843849,-2.8358895,geo_point_2d_poligono
1,1901,Iruña Oka,42.8265197,-2.8194319,geo_point_2d_poligono
1,1902,Lantarón,42.7554065,-3.0139769,geo_point_2d_poligono
2,2001,ABENGIBRE,39.21667,-1.53333,nucleo_capital_geonames
2,2002,ALATOZ,39.09495,-1.36098,nucleo_capital_geonames
2,2003,ALBACETE,38.98289,-1.94065,nucleo_capital_geonames
2,2004,ALBATANA,38.57057,-1.5221,nucleo_capital_geonames
2,2005,ALBOREA,39.28333,-1.38333,nucleo_capital_geonames
2,2006,ALCADOZO,38.64916,-1.97998,nucleo_capital_geonames
2,2007,ALCALÁ DEL JÚCAR,39.19313,-1.43017,nucleo_capital_geonames
2,2008,Alcaraz,38.6668,-2.49105,nucleo_capital_geonames
2,2009,ALMANSA,38.86917,-1.09713,nucleo_capital_geonames
2,2010,ALPERA,38.95866,-1.23052,nucleo_capital_geonames
2,2011,AYNA,38.55,-2.08333,nucleo_capital_geonames
2,2012,Balazote,38.88444,-2.1518,nucleo_capital_geonames
2,2013,Balsa de Ves,39.26667,-1.2,nucleo_capital_geonames
2,2014,El Ballestero,38.84179,-2.45608,nucleo_homonimo_geonames
2,2015,Barrax,39.04607,-2.20152,nucleo_capital_geonames
2,2016,BIENSERVIDA,38.51716,-2.61087,nucleo_capital_geonames
2,2017,Bogarra,38.58139,-2.2129,nucleo_homonimo_geonames
2,2018,BONETE,38.87136,-1.34851,nucleo_capital_geonames
2,2019,BONILLO (EL),38.95048,-2.54048,nucleo_homonimo_geonames
2,2020,Carcelén,39.10202,-1.30879,nucleo_capital_geonames
2,2021,Casas de Juan Núñez,39.1019,-1.55821,nucleo_capital_geonames
2,2022,CASAS DE LÁZARO,38.77056,-2.24044,nucleo_capital_geonames
2,2023,Casas de Ves,39.25,-1.33333,nucleo_capital_geonames
2,2024,Casas-Ibáñez,39.28333,-1.46667,nucleo_homonimo_geonames
2,2025,CAUDETE,38.70679,-0.98723,nucleo_capital_geonames
2,2026,CENIZATE,39.3,-1.65,nucleo_capital_geonames
2,2027,Corral-Rubio,38.83462,-1.46034,nucleo_capital_geonames
2,2028,Cotillas,38.43115,-2.5055,nucleo_capital_geonames
2,2029,Chinchilla de Monte-Aragón,38.92088,-1.72018,nucleo_homonimo_geonames
2,2030,ELCHE DE LA SIERRA,38.45123,-2.0476,nucleo_capital_geonames
2,2031,Férez,38.35,-2.0,nucleo_capital_geonames
2,2032,Fuensanta,39.23333,-2.06667,nucleo_capital_geonames
2,2033,FUENTE-ÁLAMO,38.69288,-1.43158,nucleo_capital_geonames
2,2034,FUENTEALBILLA,39.26667,-1.55,nucleo_capital_geonames
2,2035,La Gineta,39.11452,-1.99603,nucleo_homonimo_geonames
2,2036,Golosalvo,39.23333,-1.63333,nucleo_capital_geonames
2,2037,HELLÍN,38.5106,-1.70096,nucleo_capital_geonames
2,2038,La Herrera,38.96282,-2.12677,nucleo_homonimo_geonames
2,2039,HIGUERUELA,38.96371,-1.4437,nucleo_capital_geonames
2,2040,Hoya-Gonzalo,38.9579,-1.55679,nucleo_capital_geonames
2,2041,Jorquera,39.16667,-1.51667,nucleo_capital_geonames
2,2042,LETUR,38.36626,-2.10206,nucleo_capital_geonames
2,2043,Lezuza,38.9497,-2.35419,nucleo_capital_geonames
2,2044,Liétor,38.54267,-1.95367,nucleo_capital_geonames
2,2045,MADRIGUERAS,39.23333,-1.8,nucleo_capital_geonames
2,2046,Mahora,39.21667,-1.73333,nucleo_capital_geonames
2,2047,MASEGOSO,38.71833,-2.3161,nucleo_capital_geonames
2,2048,Minaya,39.27052,-2.32176,nucleo_capital_geonames
2,2049,Molinicos,38.46717,-2.23939,nucleo_capital_geonames
2,2050,MONTALVOS,39.16667,-2.01667,nucleo_capital_geonames
2,2051,Montealegre del Castillo,38.78856,-1.32722,nucleo_capital_geonames
2,2052,MOTILLEJA,39.18333,-1.78333,nucleo_capital_geonames
2,2053,Munera,39.04217,-2.48068,nucleo_homonimo_geonames
2,2054,NAVAS DE JORQUERA,39.28333,-1.71667,nucleo_capital_geonames
2,2055,Nerpio,38.14751,-2.30202,nucleo_capital_geonames
2,2056,Ontur,38.61509,-1.49724,nucleo_capital_geonames
2,2057,Ossa de Montiel,38.96398,-2.74553,nucleo_capital_geonames
2,2058,Paterna del Madera,38.59751,-2.34421,nucleo_capital_geonames
2,2059,PEÑASCOSA,38.67215,-2.40991,nucleo_homonimo_geonames
2,2060,Peñas de San Pedro,38.7288,-2.005,nucleo_capital_geonames
2,2061,Pétrola,38.82628,-1.55662,nucleo_capital_geonames
2,2062,Povedilla,38.70022,-2.60212,nucleo_capital_geonames
2,2063,POZOHONDO,38.72095,-1.91192,nucleo_capital_geonames
2,2064,Pozo-Lorente,39.07632,-1.50699,nucleo_homonimo_geonames
2,2065,Pozuelo,38.80989,-2.10101,nucleo_capital_geonames
2,2066,RECUEJA (LA),39.18333,-1.48333,nucleo_homonimo_geonames
2,2067,Riópar,38.5,-2.45,nucleo_capital_geonames
2,2068,ROBLEDO,38.75807,-2.45042,nucleo_capital_geonames
2,2069,RODA (LA),39.20735,-2.15723,nucleo_homonimo_geonames
2,2070,SALOBRE,38.59297,-2.55038,nucleo_capital_geonames
2,2071,San Pedro,38.82493,-2.18276,nucleo_homonimo_geonames
2,2072,Socovos,38.33232,-1.98485,nucleo_capital_geonames
2,2073,Tarazona de la Mancha,39.25,-1.91667,nucleo_capital_geonames
2,2074,Tobarra,38.59213,-1.69191,nucleo_capital_geonames
2,2075,Valdeganga,39.13514,-1.67703,nucleo_capital_geonames
2,2076,Vianos,38.63316,-2.50045,nucleo_homonimo_geonames
2,2077,Villa de Ves,39.2,-1.23333,nucleo_capital_geonames
2,2078,Villalgordo del Júcar,39.3194875,-2.044672,geo_point_2d_poligono
2,2079,Villamalea,39.36667,-1.58333,nucleo_capital_geonames
2,2080,Villapalacios,38.575,-2.63384,nucleo_capital_geonames
2,2081,Villarrobledo,39.26992,-2.60119,nucleo_capital_geonames
2,2082,VILLATOYA,39.3229455,-1.3320477,geo_point_2d_poligono
2,2083,Villavaliente,39.12646,-1.45712,nucleo_capital_geonames
2,2084,Villaverde de Guadalimar,38.45525,-2.51782,nucleo_capital_geonames
2,2085,VIVEROS,38.7726,-2.57449,nucleo_capital_geonames
2,2086,Yeste,38.36852,-2.31756,nucleo_capital_geonames
2,2901,POZO CAÑADA,38.7828011,-1.7597101,geo_point_2d_poligono
3,3001,l'Atzúbia,38.84819,-0.15324,nucleo_capital_geonames
3,3002,AGOST,38.44003,-0.63836,nucleo_capital_geonames
3,3003,Agres,38.78333,-0.51667,nucleo_capital_geonames
3,3004,AIGÜES,38.5,-0.35,nucleo_capital_geonames
3,3005,ALBATERA,38.17902,-0.87059,nucleo_capital_geonames
3,3006,ALCALALÍ,38.75038,-0.04013,nucleo_capital_geonames
3,3007,ALCOSSER,38.79501,-0.40244,nucleo_capital_geonames
3,3008,ALCOLEJA,38.6648933,-0.3274626,geo_point_2d_poligono
3,3009,Alcoi,38.70545,-0.47432,nucleo_capital_geonames
3,3010,Alfafara,38.77339,-0.55551,nucleo_capital_geonames
3,3011,ALFÀS DEL PI (L'),38.58055,-0.10321,nucleo_capital_geonames
3,3012,Algorfa,38.08636,-0.79646,nucleo_capital_geonames
3,3013,ALGUEÑA,38.33905,-1.00433,nucleo_capital_geonames
3,3014,Alicante,38.34517,-0.48149,nucleo_capital_geonames
